Helpful,Product ID,Rated Reviews,Review Score,Review Length,Exclamation Points,Helpful Fraction
,B002SRYRE8,,5.0,131,1.0,
,B002SRYRE8,,5.0,546,2.0,
,B001GVISJW,,4.0,249,,
,B001GVISJW,,4.0,259,,
,B001GVISJW,,5.0,313,22.0,
,B001GVISJW,,5.0,369,3.0,
,B001GVISJW,1,3.0,424,,
2,B0017I8UME,2,5.0,419,1.0,1.0
2,B0017I8UME,2,2.0,890,2.0,1.0
,B0017I8UME,,5.0,158,,
,B0064KU9HO,,3.0,210,,
3,B0037ZFEW4,3,5.0,198,,1.0
,B00374XSVY,,5.0,283,6.0,
,B00374XSVY,,5.0,134,,
,B005P0HHGK,,4.0,119,,
1,B002HQAXUW,1,1.0,222,,1.0
1,B000SV90J8,1,5.0,316,3.0,1.0
,B000SV90J8,,5.0,409,3.0,
1,B0036VM05I,1,5.0,181,,1.0
,B0036VM05I,,5.0,113,,
17,B000ITVLE2,19,5.0,504,,0.8947368421052632
3,B000ITVLE2,3,5.0,231,,1.0
2,B000ITVLE2,2,5.0,130,,1.0
1,B000ITVLE2,1,3.0,175,,1.0
,B000ITVLE2,,4.0,314,,
,B000ITVLE2,,5.0,246,1.0,
,B000ITVLE2,4,1.0,258,,
1,B003TQQKFQ,1,5.0,352,4.0,1.0
2,B003TQQKFQ,3,5.0,167,1.0,0.6666666666666666
1,B007B9J6G2,1,1.0,402,,1.0
1,B0064KO0BU,1,1.0,212,,1.0
,B0064KO0BU,,3.0,249,,
,B0064KO0BU,,5.0,198,1.0,
3,B001IUKD76,3,5.0,317,,1.0
3,B001IUKD76,3,5.0,208,2.0,1.0
,B0081XN2HQ,,5.0,1203,1.0,
5,B0025VRCJY,6,4.0,658,,0.8333333333333334
1,B0025VRCJY,1,5.0,265,,1.0
,B0025VRCJY,,5.0,229,,
,B0025VRCJY,,5.0,275,,
,B0025VRCJY,2,4.0,163,1.0,
8,B005CJVVJ8,8,4.0,375,,1.0
6,B005CJVVJ8,6,4.0,236,,1.0
1,B005CJVVJ8,1,5.0,115,1.0,1.0
,B005CJVVJ8,,3.0,859,2.0,
3,B001KUUNP6,3,5.0,715,1.0,1.0
3,B001KUUNP6,3,5.0,99,,1.0
,B001KUUNP6,,5.0,129,,
2,B000NY8ODS,2,5.0,2221,,1.0
,B00029XIZI,,5.0,155,,
1,B004V6AH34,1,4.0,413,1.0,1.0
,B004V6AH34,,3.0,306,,
,B004V6AH34,,5.0,158,1.0,
,B004V6AH34,,5.0,259,,
,B004V6AH34,,5.0,319,,
2,B0028C44Z0,2,5.0,501,1.0,1.0
2,B0028C44Z0,2,4.0,102,,1.0
1,B0028C44Z0,1,5.0,348,,1.0
3,B0028C44Z0,4,5.0,245,2.0,0.75
2,B0028C44Z0,3,3.0,128,6.0,0.6666666666666666
2,B0028C44Z0,3,5.0,116,,0.6666666666666666
,B0028C44Z0,,5.0,178,,
,B0028C44Z0,,2.0,366,,
,B0028C44Z0,,5.0,249,,
,B0028C44Z0,,5.0,122,,
,B0028C44Z0,,4.0,951,2.0,
1,B0028C44Z0,2,5.0,232,,0.5
1,B0028C44Z0,2,5.0,340,2.0,0.5
,B0028C44Z0,1,5.0,102,,
1,B0028C44Z0,3,5.0,360,1.0,0.3333333333333333
,B0028C44Z0,3,1.0,550,,
2,B0009XLVGA,2,5.0,1130,,1.0
2,B0009XLVGA,2,5.0,606,1.0,1.0
1,B0009XLVGA,1,5.0,1161,,1.0
,B0009XLVGA,1,2.0,244,,
3,B0009XLVGA,10,1.0,1893,2.0,0.3
,B002TDK0VK,1,4.0,207,1.0,
,B002TDK0VK,1,5.0,175,,
1,B002TDK0VK,4,1.0,146,,0.25
,B0040WAG7Q,,3.0,1343,,
5,B001EO5ZMO,5,5.0,706,,1.0
3,B001EO5ZMO,3,5.0,575,,1.0
,B001EO5ZMO,,5.0,586,,
,B001EO5ZMO,,5.0,723,,
,B001EO5ZMO,,5.0,424,,
,B001EO5ZMO,1,5.0,119,,
1,B001EO5ZMO,3,2.0,108,,0.3333333333333333
,B001SATU8E,,4.0,458,1.0,
1,B007JFV6RK,1,5.0,233,,1.0
1,B007JFV6RK,1,5.0,164,2.0,1.0
1,B007JFV6RK,1,5.0,105,,1.0
,B001L4ELRW,,1.0,242,,
,B003SO503C,,5.0,333,1.0,
,B003SO503C,,5.0,568,,
,B003ZFXJDW,,5.0,200,,
,B003ZFXJDW,,1.0,156,1.0,
,B003ZFXJDW,1,5.0,248,1.0,
,B001HTL6CY,,2.0,892,2.0,
,B000WFRMRW,,5.0,599,,
,B000WFRMRW,,4.0,1526,,
,B001EO5ZME,,5.0,600,1.0,
,B0093NIWVO,,5.0,122,,
3,B001EO5ZMY,3,5.0,651,1.0,1.0
1,B001EO5ZMY,1,5.0,189,1.0,1.0
1,B001EO5ZMY,1,5.0,264,,1.0
2,B001EO5ZMY,3,4.0,136,,0.6666666666666666
,B001EO5ZMY,,4.0,115,,
1,B001EO5ZMY,9,2.0,768,,0.1111111111111111
1,B007TFONH0,1,5.0,472,1.0,1.0
,B007TFONH0,,5.0,308,,
,B007TFONH0,,5.0,164,,
,B000GGKQSO,,5.0,103,,
2,B007J32WX4,2,5.0,691,3.0,1.0
,B0017129DC,,3.0,222,,
,B0002567IW,,1.0,145,,
,B0048IC328,,4.0,662,,
1,B0048IC328,3,1.0,162,,0.3333333333333333
3,B0048IC328,7,2.0,1333,1.0,0.42857142857142855
,B0025WIAN0,,5.0,279,,
2,B00821UN4M,2,1.0,689,,1.0
1,B00821UN4M,1,2.0,665,1.0,1.0
,B00473RWXY,,5.0,344,,
1,B002MV23XM,1,5.0,199,,1.0
1,B002MV23XM,1,5.0,94,,1.0
2,B000LKZK7C,2,5.0,166,,1.0
4,B000LKZK7C,5,3.0,1158,,0.8
6,B000LKZK7C,8,5.0,622,,0.75
1,B000LKZK7C,1,5.0,119,1.0,1.0
1,B000LKZK7C,1,5.0,134,1.0,1.0
,B000LKZK7C,,1.0,757,6.0,
,B000LKZK7C,,4.0,169,,
,B000LKZK7C,,4.0,455,,
,B000LKZK7C,,4.0,113,,
,B000LKZK7C,,5.0,454,,
,B000LKZK7C,,3.0,309,,
,B000LKZK7C,,5.0,109,,
,B000LKZK7C,,5.0,277,,
,B000LKZK7C,,4.0,591,,
1,B000LKZK7C,2,5.0,163,4.0,0.5
,B001D07IPG,,5.0,499,1.0,
,B001D07IPG,,5.0,151,3.0,
,B001D07IPG,,5.0,406,,
,B001D07IPG,,5.0,269,1.0,
,B001D07IPG,,5.0,132,1.0,
,B001D07IPG,1,1.0,378,,
3,B000H13270,4,5.0,914,,0.75
1,B000H13270,3,5.0,177,1.0,0.3333333333333333
1,B000H13270,4,3.0,399,,0.25
,B000H13270,4,3.0,484,,
13,B001UJEN6C,13,5.0,883,,1.0
6,B001UJEN6C,6,5.0,701,2.0,1.0
7,B001UJEN6C,8,5.0,148,1.0,0.875
6,B001UJEN6C,7,3.0,253,,0.8571428571428571
3,B001UJEN6C,3,5.0,600,,1.0
3,B001UJEN6C,3,5.0,507,1.0,1.0
3,B001UJEN6C,3,5.0,792,3.0,1.0
5,B001UJEN6C,6,3.0,191,,0.8333333333333334
2,B001UJEN6C,2,5.0,746,2.0,1.0
2,B001UJEN6C,2,4.0,414,5.0,1.0
1,B001UJEN6C,1,5.0,344,,1.0
1,B001UJEN6C,1,5.0,181,,1.0
2,B001UJEN6C,3,5.0,1008,1.0,0.6666666666666666
,B001UJEN6C,,5.0,241,,
,B001UJEN6C,,5.0,195,,
,B001UJEN6C,,5.0,490,,
,B001UJEN6C,,5.0,193,,
,B001UJEN6C,,5.0,365,,
1,B001UJEN6C,5,1.0,590,3.0,0.2
,B003EMU7EU,,4.0,386,1.0,
,B0064KOUNI,,5.0,110,3.0,
3,B003YDP5PA,3,5.0,546,,1.0
2,B003YDP5PA,2,5.0,319,,1.0
1,B003YDP5PA,1,5.0,320,1.0,1.0
,B003YDP5PA,,1.0,268,,
1,B002X9JNYU,3,1.0,130,,0.3333333333333333
,B001EPQ0J0,,5.0,467,,
,B001EPQ0J0,,5.0,249,,
,B001EPQ0J0,,5.0,541,,
,B000O9Y62A,,5.0,127,1.0,
,B000O9Y62A,,5.0,868,1.0,
,B00283TPYE,,5.0,141,,
,B001FB69YY,,5.0,130,,
1,B004OYBN7C,1,5.0,189,,1.0
4,B000JEHAHS,4,5.0,64,,1.0
,B000JEHAHS,1,3.0,133,1.0,
1,B000JEHAHS,4,3.0,82,1.0,0.25
5,B000JEHAHS,19,1.0,93,,0.2631578947368421
,B003VTN95K,,5.0,149,,
,B003VTN95K,,5.0,497,1.0,
,B003VTN95K,,4.0,229,,
,B003VTN95K,,5.0,1150,,
,B003VTN95K,,5.0,257,,
,B003VTN95K,,5.0,143,,
,B007DJ0O9I,,1.0,143,,
,B007DJ0O9I,1,5.0,395,1.0,
1,B00469VSJI,1,5.0,315,,1.0
,B00469VSJI,,1.0,234,,
,B00469VSJI,,1.0,197,,
,B002SRAU80,,5.0,181,,
1,B0067LDV66,1,5.0,220,2.0,1.0
,B0067LDV66,,5.0,122,1.0,
2,B000HKYP9A,2,5.0,468,1.0,1.0
,B000HKYP9A,,4.0,554,,
,B000HKYP9A,,5.0,183,9.0,
,B000HKYP9A,,3.0,193,,
,B000HKYP9A,,5.0,258,1.0,
,B000HKYP9A,,3.0,569,,
,B000HKYP9A,,3.0,251,,
,B000HKYP9A,,4.0,240,4.0,
1,B00067AD4U,1,5.0,337,2.0,1.0
1,B00067AD4U,1,5.0,234,1.0,1.0
1,B00067AD4U,1,5.0,176,,1.0
,B00067AD4U,,5.0,201,1.0,
,B0029OWDAU,,5.0,169,,
,B000SEJ84M,,5.0,484,,
3,B001LMNXFA,3,5.0,263,,1.0
2,B001LMNXFA,2,5.0,121,2.0,1.0
,B002J2DO8W,,5.0,184,,
7,B000U9V5AU,7,5.0,568,1.0,1.0
1,B001SB099M,1,4.0,271,,1.0
,B0041QJSJS,,4.0,390,,
3,B0041QJSJS,5,5.0,259,3.0,0.6
2,B0041QJSJS,4,5.0,437,,0.5
,B0041QJSJS,1,1.0,134,,
,B0041QJSJS,1,5.0,484,2.0,
1,B00437JI8Q,1,5.0,170,3.0,1.0
1,B00437JI8Q,1,5.0,170,3.0,1.0
,B00437JI8Q,,5.0,181,1.0,
,B00437JI8Q,,5.0,196,,
,B00437JI8Q,,5.0,370,,
2,B002O3VHXU,2,4.0,227,,1.0
1,B002O3VHXU,1,5.0,576,1.0,1.0
,B002O3VHXU,,4.0,1904,1.0,
,B002O3VHXU,,5.0,142,,
,B002O3VHXU,,4.0,226,,
,B002O3VHXU,,5.0,126,1.0,
,B0057FTBYO,,5.0,290,,
2,B0087HW5E2,2,5.0,230,,1.0
5,B003YXWAF8,7,5.0,243,1.0,0.7142857142857143
2,B003YXWAF8,3,5.0,637,,0.6666666666666666
,B003YXWAF8,,5.0,202,1.0,
,B003YXWAF8,1,5.0,281,2.0,
1,B003YXWAF8,3,3.0,299,,0.3333333333333333
7,B003YXWAF8,13,1.0,155,,0.5384615384615384
2,B000UXA3L8,2,5.0,246,,1.0
,B000UXA3L8,,5.0,1387,1.0,
1,B004AVYUOW,1,5.0,144,2.0,1.0
,B001ESOQAM,,5.0,586,,
,B001ESOQAM,,4.0,309,,
,B001ESOQAM,,5.0,722,,
,B001ESOQAM,,5.0,110,,
,B001ESOQA2,,4.0,380,,
1,B003XT4AV0,1,2.0,230,2.0,1.0
1,B003XT4AV0,1,5.0,117,,1.0
2,B001FA1MCO,2,5.0,102,,1.0
,B001FA1MCO,,1.0,140,,
2,B001ELL6O8,2,5.0,248,,1.0
1,B001ELL6O8,1,5.0,176,,1.0
1,B001ELL6O8,1,5.0,245,,1.0
1,B001ELL6O8,1,5.0,198,,1.0
1,B001ELL6O8,1,5.0,903,5.0,1.0
,B001ELL6O8,,4.0,154,1.0,
1,B001ELL6O8,4,3.0,177,,0.25
1,B001ELL6O8,4,1.0,218,,0.25
,B001ELL6O8,6,1.0,139,2.0,
,B006CGURWM,,1.0,432,,
1,B00250I0EG,1,5.0,143,1.0,1.0
6,B000C21OOM,7,5.0,384,,0.8571428571428571
3,B003D4O92K,3,5.0,752,,1.0
,B003D4O92K,,5.0,473,,
1,B001IZM8A6,1,5.0,214,3.0,1.0
,B001IZM8A6,,5.0,340,,
,B0089PI9OC,,5.0,611,1.0,
,B00061KYVI,,5.0,214,,
,B00061KYVI,,5.0,183,1.0,
,B00061KYVI,,5.0,249,,
,B003XV5LHK,,5.0,188,5.0,
1,B005WU7V00,1,5.0,211,1.0,1.0
,B005CFC9XY,,5.0,729,2.0,
,B000SEJ842,,1.0,387,,
,B004X8TK8I,,5.0,217,2.0,
,B004X8TK8I,,4.0,217,1.0,
,B004X8TK8I,,5.0,447,,
,B004X8TK8I,,5.0,123,,
,B000G6RYNE,,4.0,119,,
,B000G6RYNE,,5.0,273,1.0,
,B000G6RYNE,,5.0,793,,
,B000G6RYNE,,4.0,194,,
,B000G6RYNE,,4.0,243,,
,B000G6RYNE,,5.0,294,,
,B000G6RYNE,,5.0,410,4.0,
,B000G6RYNE,,5.0,354,5.0,
,B000G6RYNE,,5.0,1097,,
,B000G6RYNE,,5.0,305,1.0,
,B000G6RYNE,,4.0,400,2.0,
,B000G6RYNE,,5.0,198,,
,B000G6RYNE,,4.0,315,,
,B000G6RYNE,,5.0,264,,
,B000G6RYNE,,5.0,458,,
,B000G6RYNE,,5.0,191,,
,B000G6RYNE,,5.0,199,,
,B000G6RYNE,,4.0,784,1.0,
,B000G6RYNE,,3.0,619,,
,B000G6RYNE,,5.0,426,2.0,
,B000G6RYNE,,4.0,218,,
,B000G6RYNE,,5.0,653,1.0,
,B000G6RYNE,,5.0,111,,
,B000G6RYNE,,3.0,192,1.0,
,B000G6RYNE,,4.0,1046,2.0,
,B000G6RYNE,,5.0,297,3.0,
,B000G6RYNE,,5.0,195,2.0,
,B000G6RYNE,,5.0,196,,
,B000G6RYNE,,5.0,942,2.0,
,B000G6RYNE,,3.0,673,,
,B000G6RYNE,,5.0,102,,
,B000G6RYNE,,5.0,99,2.0,
,B000G6RYNE,,5.0,340,1.0,
,B000G6RYNE,,5.0,691,,
,B000G6RYNE,,5.0,185,3.0,
,B000G6RYNE,,5.0,206,1.0,
,B000G6RYNE,,5.0,178,1.0,
,B000G6RYNE,,5.0,502,2.0,
,B000G6RYNE,,4.0,556,,
,B000G6RYNE,,4.0,281,,
,B000G6RYNE,,5.0,517,,
,B000G6RYNE,,5.0,412,2.0,
,B000G6RYNE,,5.0,290,7.0,
,B000G6RYNE,,5.0,386,2.0,
,B000G6RYNE,,5.0,1592,,
,B000G6RYNE,,5.0,1687,,
,B000G6RYNE,,5.0,257,1.0,
,B000G6RYNE,,5.0,278,,
,B000G6RYNE,,4.0,449,,
,B000G6RYNE,,4.0,147,,
,B000G6RYNE,,4.0,101,,
,B000G6RYNE,,4.0,674,,
,B000G6RYNE,,5.0,151,1.0,
,B000G6RYNE,,5.0,346,1.0,
,B000G6RYNE,,5.0,193,,
,B000G6RYNE,,5.0,98,1.0,
,B000G6RYNE,,4.0,81,,
,B000G6RYNE,,5.0,254,,
,B000G6RYNE,,5.0,339,,
,B000G6RYNE,,5.0,133,,
,B000G6RYNE,,5.0,89,,
,B000G6RYNE,,2.0,267,,
,B000G6RYNE,,5.0,225,2.0,
,B000G6RYNE,,4.0,367,,
,B000G6RYNE,,4.0,112,,
,B000G6RYNE,,2.0,118,,
,B000G6RYNE,,3.0,699,,
,B000G6RYNE,,5.0,486,,
,B000G6RYNE,,2.0,343,2.0,
,B000G6RYNE,,5.0,238,1.0,
,B000G6RYNE,,5.0,446,2.0,
,B000G6RYNE,,5.0,103,,
,B000G6RYNE,,5.0,600,,
,B000G6RYNE,,5.0,176,,
,B000G6RYNE,,5.0,364,,
,B000G6RYNE,,4.0,842,,
,B000G6RYNE,,4.0,209,,
,B000G6RYNE,,5.0,375,1.0,
,B000G6RYNE,,5.0,180,1.0,
3,B000G6RYNE,5,2.0,133,,0.6
1,B000G6RYNE,2,5.0,124,3.0,0.5
1,B000G6RYNE,2,4.0,458,,0.5
1,B000G6RYNE,2,5.0,471,,0.5
1,B000G6RYNE,2,5.0,136,,0.5
1,B000G6RYNE,2,5.0,772,,0.5
1,B000G6RYNE,2,2.0,356,2.0,0.5
1,B000G6RYNE,2,1.0,989,,0.5
4,B000G6RYNE,7,1.0,148,,0.5714285714285714
2,B000G6RYNE,4,5.0,255,1.0,0.5
,B000G6RYNE,1,4.0,462,,
,B000G6RYNE,1,3.0,237,,
,B000G6RYNE,1,5.0,523,,
,B000G6RYNE,1,5.0,736,4.0,
,B000G6RYNE,1,5.0,182,,
,B000G6RYNE,1,1.0,428,,
,B000G6RYNE,1,4.0,134,,
,B000G6RYNE,1,3.0,135,,
,B000G6RYNE,1,2.0,82,,
,B000G6RYNE,1,5.0,537,3.0,
,B000G6RYNE,1,3.0,143,,
43,B000G6RYNE,47,5.0,1601,1.0,0.9148936170212766
13,B000G6RYNE,15,5.0,393,,0.8666666666666667
14,B000G6RYNE,17,5.0,272,2.0,0.8235294117647058
4,B000G6RYNE,4,5.0,645,,1.0
4,B000G6RYNE,4,5.0,189,3.0,1.0
11,B000G6RYNE,14,5.0,776,1.0,0.7857142857142857
20,B000G6RYNE,27,1.0,2949,2.0,0.7407407407407407
3,B000G6RYNE,3,5.0,502,2.0,1.0
3,B000G6RYNE,3,5.0,345,2.0,1.0
3,B000G6RYNE,3,5.0,631,,1.0
,B000G6RYNE,1,4.0,121,,
,B000G6RYNE,1,3.0,114,,
,B000G6RYNE,1,3.0,185,1.0,
3,B000G6RYNE,6,2.0,705,,0.5
1,B000G6RYNE,3,5.0,243,,0.3333333333333333
1,B000G6RYNE,3,1.0,282,,0.3333333333333333
1,B000G6RYNE,3,1.0,140,,0.3333333333333333
1,B000G6RYNE,3,5.0,5276,15.0,0.3333333333333333
1,B000G6RYNE,3,3.0,263,,0.3333333333333333
4,B000G6RYNE,8,1.0,439,1.0,0.5
2,B000G6RYNE,5,4.0,323,2.0,0.4
,B000G6RYNE,2,1.0,348,,
,B000G6RYNE,2,1.0,459,2.0,
,B000G6RYNE,2,1.0,125,2.0,
1,B000G6RYNE,4,2.0,690,,0.25
1,B000G6RYNE,4,1.0,472,,0.25
1,B000G6RYNE,4,4.0,140,,0.25
1,B000G6RYNE,4,3.0,84,,0.25
2,B000G6RYNE,6,1.0,295,,0.3333333333333333
3,B000G6RYNE,8,1.0,347,,0.375
1,B000G6RYNE,5,2.0,407,,0.2
1,B000G6RYNE,5,2.0,837,,0.2
2,B000G6RYNE,7,1.0,221,,0.2857142857142857
,B000G6RYNE,4,1.0,173,,
,B000G6RYNE,5,1.0,174,,
1,B000G6RYNE,7,1.0,149,,0.14285714285714285
,B000G6RYNE,7,1.0,142,1.0,
3,B000G6RYNE,3,5.0,304,,1.0
7,B000G6RYNE,9,1.0,1042,,0.7777777777777778
7,B000G6RYNE,9,1.0,547,,0.7777777777777778
7,B000G6RYNE,9,1.0,830,1.0,0.7777777777777778
7,B000G6RYNE,9,5.0,476,,0.7777777777777778
7,B000G6RYNE,9,5.0,223,1.0,0.7777777777777778
7,B000G6RYNE,9,5.0,373,2.0,0.7777777777777778
2,B000G6RYNE,2,1.0,563,6.0,1.0
2,B000G6RYNE,2,5.0,438,3.0,1.0
2,B000G6RYNE,2,1.0,443,,1.0
2,B000G6RYNE,2,5.0,202,,1.0
2,B000G6RYNE,2,5.0,255,,1.0
2,B000G6RYNE,2,5.0,1599,,1.0
2,B000G6RYNE,2,5.0,1285,7.0,1.0
2,B000G6RYNE,2,5.0,223,1.0,1.0
2,B000G6RYNE,2,5.0,1592,,1.0
2,B000G6RYNE,2,5.0,124,,1.0
4,B000G6RYNE,5,1.0,375,3.0,0.8
4,B000G6RYNE,5,5.0,650,3.0,0.8
1,B000G6RYNE,1,5.0,105,,1.0
1,B000G6RYNE,1,5.0,93,,1.0
1,B000G6RYNE,1,4.0,166,,1.0
1,B000G6RYNE,1,5.0,229,,1.0
1,B000G6RYNE,1,1.0,218,,1.0
1,B000G6RYNE,1,5.0,124,,1.0
1,B000G6RYNE,1,5.0,191,,1.0
1,B000G6RYNE,1,4.0,437,,1.0
1,B000G6RYNE,1,5.0,393,,1.0
1,B000G6RYNE,1,5.0,462,,1.0
1,B000G6RYNE,1,5.0,307,,1.0
1,B000G6RYNE,1,5.0,539,,1.0
1,B000G6RYNE,1,5.0,151,,1.0
1,B000G6RYNE,1,4.0,909,,1.0
1,B000G6RYNE,1,5.0,757,,1.0
1,B000G6RYNE,1,2.0,664,,1.0
1,B000G6RYNE,1,3.0,539,2.0,1.0
1,B000G6RYNE,1,5.0,486,1.0,1.0
1,B000G6RYNE,1,5.0,287,1.0,1.0
1,B000G6RYNE,1,5.0,243,,1.0
1,B000G6RYNE,1,5.0,233,2.0,1.0
1,B000G6RYNE,1,5.0,627,3.0,1.0
1,B000G6RYNE,1,5.0,383,,1.0
1,B000G6RYNE,1,5.0,497,1.0,1.0
1,B000G6RYNE,1,5.0,1893,,1.0
1,B000G6RYNE,1,5.0,1592,,1.0
1,B000G6RYNE,1,5.0,242,,1.0
1,B000G6RYNE,1,5.0,336,,1.0
1,B000G6RYNE,1,5.0,110,,1.0
1,B000G6RYNE,1,4.0,497,3.0,1.0
1,B000G6RYNE,1,5.0,435,,1.0
1,B000G6RYNE,1,5.0,1049,,1.0
1,B000G6RYNE,1,5.0,162,,1.0
1,B000G6RYNE,1,4.0,311,3.0,1.0
